,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
32,Data Scientist,Fiddlehead,"Moncton, NB",10 days ago,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,10 days ago,0,0,0
33,Data Scientist,WGames Inc.,"Toronto, ON",14 days ago,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,14 days ago,0,0,0
34,"Data Scientist, Consultant",KPMG LLP,"Toronto, ON",30+ days ago,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
35,Data Scientist,FOUND PEOPLE INC.,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
36,Data Scientist,BrainStation,"Toronto, ON",9 days ago,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,9 days ago,0,0,0
37,Data Scientist I,Ingram Micro,"Toronto, ON",30+ days ago,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,30+ days ago,0,0,0
38,Post 1011: Data Scientist,Crescendo Technology Ltd.,"North York, ON",save job,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
39,"Data Scientist, Data Quality Labs - Toronto, ON",Scotiabank,"Toronto, ON",8 days ago,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,8 days ago,0,0,0
40,Delivery Architect - Data Scientist,Capgemini,"Toronto, ON",1 day ago,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1 day ago,1,0,0
41,Data Scientist,Frozen Mountain,"Surrey, BC",3 days ago,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,3 days ago,0,0,0
42,Data Scientist,Cerebri AI,"Toronto, ON",9 days ago,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,9 days ago,0,0,0
43,Data Scientist / Actuary,Munich Re,"Toronto, ON",30+ days ago,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
44,R&D Analytical Scientist (full-time following 3-month probation),Sulvaris Inc.,"Calgary, AB",save job,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,save job,0,0,0
45,"Data Scientist - Toronto, ON",Scotiabank,"Toronto, ON",11 days ago,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,11 days ago,0,0,0
46,Data Scientist,HSBC,"Toronto, ON",30+ days ago,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,30+ days ago,0,0,0
47,Data Scientist,"Schulich School of Business, York University","North York, ON",save job,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,save job,1,0,0
48,Research Scientist (FT),Waypoint Centre for Mental Health Care,"Penetanguishene, ON",2 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2 days ago,1,0,0
49,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
50,"Lead Data Scientist, Machine Learning, COE",BMO Financial Group,"Toronto, ON",3 days ago,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3 days ago,0,0,0
51,Data Scientist,Groom & Associates,"Montréal, QC",28 days ago,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
52,Lead Data Scientist - App & Partner Platform,Shopify,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
53,Data Scientist,EMAGIN,"Kitchener, ON",5 days ago,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5 days ago,0,0,1
54,Junior Data Scientist,CybernetIQ,"Ottawa, ON",save job,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,save job,0,0,1
55,Data Scientist,"Amazon Web Services Canada, In",Alberta,11 days ago,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,11 days ago,0,0,0
56,Senior Data Scientist,Quartic.ai,"Oakville, ON",28 days ago,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
57,Data Scientist,Anova Ltd.,"Toronto, ON",save job,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,save job,0,1,0
58,Data Scientist,"Schulich School of Business, York University","North York, ON",save job,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,save job,1,0,0
59,"Data Scientist, Summer Intern/Coop 2019 - All Universities except Queens, UofT PEY/ESIP, McGill",Capital One,"Toronto, ON",30+ days ago,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,30+ days ago,0,0,0
60,Junior Data Analyst,EPAM Systems,Canada,10 days ago,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,10 days ago,0,0,0
61,Intern opportunities for students: Data & Applied Sciences,Microsoft,Canada,30+ days ago,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,30+ days ago,0,0,0
62,Data Scientist Internship,INVISTA,"Kingston, ON",30+ days ago,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
63,Data Scientist - Blue Planet Analytics,Ciena,"Montréal, QC",5 days ago,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,5 days ago,0,0,0
64,Data Scientist,"Kik Interactive, Inc.","Waterloo, ON",30+ days ago,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
65,Senior Data Scientist,Rubikloud Technologies,"Toronto, ON",3 days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3 days ago,0,0,0
66,"Manager, Collections Analytics and Data Scientist - Toronto, ON",Scotiabank,"Toronto, ON",2 days ago,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2 days ago,0,0,0
67,Junior Data Scentist,Government of Alberta,"Edmonton, AB",2 days ago,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2 days ago,0,0,0
68,Scientist 1,Thermo Fisher Scientific,"Mississauga, ON",11 days ago,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11 days ago,0,1,0
69,Data Mining Scientist,Huawei Canada,"Markham, ON",30+ days ago,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,30+ days ago,0,0,0
70,Data Scientist,Ciena,"Ottawa, ON",30+ days ago,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
71,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
72,Data Scientist,"Schulich School of Business, York University","North York, ON",save job,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,save job,1,0,0
73,Research Scientist (FT),Waypoint Centre for Mental Health Care,"Penetanguishene, ON",2 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2 days ago,1,0,0
74,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
